Snake DQN Training Log - 20251014_214114
==================================================
Grid Size: 15x20
Total Episodes: 3000
Final Average Score: 1.18
Best Score: 14
Final Epsilon: 0.0200

Episode Details:
Episode	Score	AvgScore	Epsilon	Reward
--------------------------------------------------
0	0	0.00	1.0000	-1.17
1	0	0.00	1.0000	-2.28
2	0	0.00	1.0000	2.40
3	0	0.00	0.9900	2.65
4	0	0.00	0.9700	0.09
5	0	0.00	0.9484	-2.16
6	0	0.00	0.9413	-1.04
7	0	0.00	0.9259	-3.00
8	0	0.00	0.9107	0.67
9	0	0.00	0.8869	-1.24
10	0	0.00	0.8534	0.34
11	0	0.00	0.8415	-2.93
12	0	0.00	0.8311	0.09
13	0	0.00	0.8171	-1.09
14	0	0.00	0.8069	-0.73
15	1	0.06	0.7913	0.68
16	0	0.06	0.7753	-1.49
17	0	0.06	0.7706	0.31
18	0	0.05	0.7591	-0.80
19	0	0.05	0.7538	0.36
20	1	0.10	0.7327	3.56
21	0	0.09	0.7246	0.97
22	0	0.09	0.7196	-0.46
23	0	0.08	0.7050	-1.49
24	0	0.08	0.6945	-2.06
25	0	0.08	0.6814	-0.55
26	1	0.11	0.6580	2.42
27	0	0.11	0.6449	-1.74
28	0	0.10	0.6246	-1.68
29	0	0.10	0.5938	-0.84
30	0	0.10	0.5891	-1.18
31	0	0.09	0.5792	0.10
32	0	0.09	0.5717	-2.11
33	0	0.09	0.5581	-2.33
34	1	0.11	0.5501	2.36
35	0	0.11	0.5452	-2.36
36	0	0.11	0.5384	1.28
37	0	0.11	0.5341	-2.00
38	0	0.10	0.5304	-2.44
39	0	0.10	0.5264	-2.21
40	0	0.10	0.5181	-2.80
41	0	0.10	0.5114	1.10
42	0	0.09	0.5078	0.38
43	0	0.09	0.4995	-0.90
44	0	0.09	0.4963	0.14
45	0	0.09	0.4916	-2.55
46	0	0.09	0.4840	-1.02
47	0	0.08	0.4770	0.94
48	1	0.10	0.4723	1.54
49	0	0.10	0.4676	-0.67
50	0	0.10	0.4599	-1.73
51	0	0.10	0.4540	-3.36
52	0	0.09	0.4417	-0.31
53	0	0.09	0.4347	1.25
54	1	0.11	0.4214	0.17
55	0	0.11	0.4180	1.61
56	0	0.11	0.4141	-0.48
57	0	0.10	0.4085	-3.15
58	0	0.10	0.3998	1.35
59	0	0.10	0.3964	0.65
60	0	0.10	0.3824	-1.69
61	0	0.10	0.3777	-2.41
