Best Episode Rendering - Score: 1
==================================================
Grid Size: 15x20
Total Steps: 203

Step-by-step details:
Step	Action	Reward	Score	Snake Head	Food
--------------------------------------------------
0	2	0.0	0	(8, 10)	(10, 6)
1	1	0.0	0	(8, 11)	(10, 6)
2	0	0.0	0	(8, 12)	(10, 6)
3	1	0.0	0	(8, 13)	(10, 6)
4	1	0.0	0	(8, 14)	(10, 6)
5	2	0.0	0	(7, 14)	(10, 6)
6	1	0.0	0	(7, 15)	(10, 6)
7	1	0.0	0	(7, 16)	(10, 6)
8	0	0.0	0	(7, 17)	(10, 6)
9	1	0.0	0	(7, 18)	(10, 6)
10	0	0.0	0	(7, 19)	(10, 6)
11	3	0.0	0	(8, 19)	(10, 6)
12	0	0.0	0	(8, 18)	(10, 6)
13	1	0.0	0	(8, 17)	(10, 6)
14	0	0.0	0	(8, 16)	(10, 6)
15	0	0.0	0	(8, 15)	(10, 6)
16	1	0.0	0	(8, 14)	(10, 6)
17	1	0.0	0	(8, 13)	(10, 6)
18	1	0.0	0	(8, 12)	(10, 6)
19	1	0.0	0	(8, 11)	(10, 6)
20	1	0.0	0	(8, 10)	(10, 6)
21	1	0.0	0	(8, 9)	(10, 6)
22	1	0.0	0	(8, 8)	(10, 6)
23	1	0.0	0	(8, 7)	(10, 6)
24	1	0.0	0	(8, 6)	(10, 6)
25	1	0.0	0	(8, 5)	(10, 6)
26	1	0.0	0	(8, 4)	(10, 6)
27	1	0.0	0	(8, 3)	(10, 6)
28	1	0.0	0	(8, 2)	(10, 6)
29	0	0.0	0	(8, 1)	(10, 6)
30	1	0.0	0	(8, 0)	(10, 6)
31	3	0.0	0	(9, 0)	(10, 6)
32	2	0.0	0	(10, 0)	(10, 6)
33	2	0.0	0	(11, 0)	(10, 6)
34	1	0.0	0	(11, 1)	(10, 6)
35	1	0.0	0	(11, 2)	(10, 6)
36	1	0.0	0	(11, 3)	(10, 6)
37	1	0.0	0	(11, 4)	(10, 6)
38	0	0.0	0	(11, 5)	(10, 6)
39	1	0.0	0	(11, 6)	(10, 6)
40	0	0.0	0	(11, 7)	(10, 6)
41	0	0.0	0	(11, 8)	(10, 6)
42	1	0.0	0	(11, 9)	(10, 6)
43	0	0.0	0	(11, 10)	(10, 6)
44	1	0.0	0	(11, 11)	(10, 6)
45	0	0.0	0	(11, 12)	(10, 6)
46	1	0.0	0	(11, 13)	(10, 6)
47	1	0.0	0	(11, 14)	(10, 6)
48	0	0.0	0	(11, 15)	(10, 6)
49	0	0.0	0	(11, 16)	(10, 6)
50	0	0.0	0	(11, 17)	(10, 6)
51	3	0.0	0	(12, 17)	(10, 6)
52	1	0.0	0	(12, 18)	(10, 6)
53	0	0.0	0	(12, 19)	(10, 6)
54	3	0.0	0	(13, 19)	(10, 6)
55	0	0.0	0	(13, 18)	(10, 6)
56	1	0.0	0	(13, 17)	(10, 6)
57	1	0.0	0	(13, 16)	(10, 6)
58	0	0.0	0	(13, 15)	(10, 6)
59	1	0.0	0	(13, 14)	(10, 6)
60	1	0.0	0	(13, 13)	(10, 6)
61	1	0.0	0	(13, 12)	(10, 6)
62	1	0.0	0	(13, 11)	(10, 6)
63	1	0.0	0	(13, 10)	(10, 6)
64	1	0.0	0	(13, 9)	(10, 6)
65	1	0.0	0	(13, 8)	(10, 6)
66	1	0.0	0	(13, 7)	(10, 6)
67	0	0.0	0	(13, 6)	(10, 6)
68	1	0.0	0	(13, 5)	(10, 6)
69	1	0.0	0	(13, 4)	(10, 6)
70	1	0.0	0	(13, 3)	(10, 6)
71	1	0.0	0	(13, 2)	(10, 6)
72	1	0.0	0	(13, 1)	(10, 6)
73	1	0.0	0	(13, 0)	(10, 6)
74	2	0.0	0	(12, 0)	(10, 6)
75	1	0.0	0	(12, 1)	(10, 6)
76	1	0.0	0	(12, 2)	(10, 6)
77	0	0.0	0	(12, 3)	(10, 6)
78	1	0.0	0	(12, 4)	(10, 6)
79	1	0.0	0	(12, 5)	(10, 6)
80	1	0.0	0	(12, 6)	(10, 6)
81	0	0.0	0	(12, 7)	(10, 6)
82	1	0.0	0	(12, 8)	(10, 6)
83	0	0.0	0	(12, 9)	(10, 6)
84	0	0.0	0	(12, 10)	(10, 6)
85	0	0.0	0	(12, 11)	(10, 6)
86	0	0.0	0	(12, 12)	(10, 6)
87	0	0.0	0	(12, 13)	(10, 6)
88	1	0.0	0	(12, 14)	(10, 6)
89	0	0.0	0	(12, 15)	(10, 6)
90	0	0.0	0	(12, 16)	(10, 6)
91	1	0.0	0	(12, 17)	(10, 6)
92	0	0.0	0	(12, 18)	(10, 6)
93	0	0.0	0	(12, 19)	(10, 6)
94	3	0.0	0	(13, 19)	(10, 6)
95	0	0.0	0	(13, 18)	(10, 6)
96	1	0.0	0	(13, 17)	(10, 6)
97	1	0.0	0	(13, 16)	(10, 6)
98	0	0.0	0	(13, 15)	(10, 6)
99	1	0.0	0	(13, 14)	(10, 6)
100	3	0.0	0	(14, 14)	(10, 6)
101	0	0.0	0	(14, 13)	(10, 6)
102	0	0.0	0	(14, 12)	(10, 6)
103	1	0.0	0	(14, 11)	(10, 6)
104	0	0.0	0	(14, 10)	(10, 6)
105	1	0.0	0	(14, 9)	(10, 6)
106	0	0.0	0	(14, 8)	(10, 6)
107	1	0.0	0	(14, 7)	(10, 6)
108	2	0.0	0	(13, 7)	(10, 6)
109	1	0.0	0	(13, 8)	(10, 6)
110	1	0.0	0	(13, 9)	(10, 6)
111	0	0.0	0	(13, 10)	(10, 6)
112	0	0.0	0	(13, 11)	(10, 6)
113	1	0.0	0	(13, 12)	(10, 6)
114	1	0.0	0	(13, 13)	(10, 6)
115	0	0.0	0	(13, 14)	(10, 6)
116	0	0.0	0	(13, 15)	(10, 6)
117	0	0.0	0	(13, 16)	(10, 6)
118	1	0.0	0	(13, 17)	(10, 6)
119	0	0.0	0	(13, 18)	(10, 6)
120	1	0.0	0	(13, 19)	(10, 6)
121	3	0.0	0	(14, 19)	(10, 6)
122	0	0.0	0	(14, 18)	(10, 6)
123	1	0.0	0	(14, 17)	(10, 6)
124	0	0.0	0	(14, 16)	(10, 6)
125	0	0.0	0	(14, 15)	(10, 6)
126	0	0.0	0	(14, 14)	(10, 6)
127	0	0.0	0	(14, 13)	(10, 6)
128	0	0.0	0	(14, 12)	(10, 6)
129	1	0.0	0	(14, 11)	(10, 6)
130	1	0.0	0	(14, 10)	(10, 6)
131	0	0.0	0	(14, 9)	(10, 6)
132	0	0.0	0	(14, 8)	(10, 6)
133	1	0.0	0	(14, 7)	(10, 6)
